"filename", "language", "JavaScript JSX", "JSON", "JSON with Comments", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\Codding\NEXT-js\lexis-portal\.eslintrc.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 1, 8
"d:\Codding\NEXT-js\lexis-portal\README.md", "Markdown", 0, 0, 0, 208, 0, 0, 50, 258
"d:\Codding\NEXT-js\lexis-portal\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 1, 9
"d:\Codding\NEXT-js\lexis-portal\next.config.js", "JavaScript JSX", 9, 0, 0, 0, 0, 3, 2, 14
"d:\Codding\NEXT-js\lexis-portal\package-lock.json", "JSON", 0, 7440, 0, 0, 0, 0, 1, 7441
"d:\Codding\NEXT-js\lexis-portal\package.json", "JSON", 0, 36, 0, 0, 0, 0, 1, 37
"d:\Codding\NEXT-js\lexis-portal\postcss.config.js", "JavaScript JSX", 6, 0, 0, 0, 0, 0, 1, 7
"d:\Codding\NEXT-js\lexis-portal\src\app\(auth)\layout.js", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 2, 10
"d:\Codding\NEXT-js\lexis-portal\src\app\(auth)\login\page.js", "JavaScript JSX", 137, 0, 0, 0, 0, 3, 15, 155
"d:\Codding\NEXT-js\lexis-portal\src\app\(auth)\register\page.js", "JavaScript JSX", 136, 0, 0, 0, 0, 0, 12, 148
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\books\page.js", "JavaScript JSX", 329, 0, 0, 0, 0, 2, 18, 349
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\calendar\page.js", "JavaScript JSX", 262, 0, 0, 0, 0, 7, 19, 288
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\cases\[id]\edit\page.js", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 7, 37
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\cases\[id]\page.js", "JavaScript JSX", 296, 0, 0, 0, 0, 5, 21, 322
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\cases\new\page.js", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 3, 16
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\cases\page.js", "JavaScript JSX", 269, 0, 0, 0, 0, 4, 14, 287
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\dashboard\page.js", "JavaScript JSX", 236, 0, 0, 0, 0, 6, 16, 258
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\intelligencefeed\page.js", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 3, 14
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\layout.js", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 3, 22
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\reminders\page.js", "JavaScript JSX", 343, 0, 0, 0, 0, 0, 23, 366
"d:\Codding\NEXT-js\lexis-portal\src\app\(dashboard)\settings\page.js", "JavaScript JSX", 118, 0, 0, 0, 0, 3, 10, 131
"d:\Codding\NEXT-js\lexis-portal\src\app\api\auth\login\route.js", "JavaScript JSX", 49, 0, 0, 0, 0, 0, 7, 56
